name,series,placement,gender,date_of_birth,age_during_taskmaster,current_age,nationality,birthplace,accent,occupation,comedy_style,years_active,notable_shows,notable_moments,memorable_tasks,twitter_handle,instagram_handle,interesting_facts,tags,contestant_id
Frank Skinner,1,1,Male,1957-01-28,58,68,English,"West Bromwich, Staffordshire, England",West Midlands/Black Country,"Comedian, actor, presenter, writer","Blue comedy, musical comedy, observational comedy",Since 1987,"Fantasy Football League, The Frank Skinner Show, Baddiel and Skinner Unplanned, Room 101",Tied for second place with Romesh Ranganathan,Unknown,Unknown,Unknown,Professional name differs from birth name,"comedian, actor, presenter, writer, observational comedy, blue comedy, English, Taskmaster, radio host, podcaster",1
Josh Widdicombe,1,2,Male,1983-04-08,32,42,English,"Hammersmith, London, England",Likely Devon-influenced,"Comedian, presenter, actor",Distinctive comedic style,2008-present,"The Last Leg, Mock the Week, Josh, Hypothetical, Parenting Hell podcast",Winner of Series 1 and Champion of Champions,Unknown,Unknown,Unknown,Won Celebrity Mastermind with Blur as specialist subject,"comedian, presenter, actor, Taskmaster winner, British comedy, panel shows, sitcom creator, podcast host, versatile entertainer",2
Romesh Ranganathan,1,3,Male,1978-03-27,37,47,British,"Crawley, West Sussex, England","Southern English, West Sussex","Stand-up comedian, actor, presenter, writer, and podcaster","Deadpan, self-deprecating, borderline misanthropic humor",2010–present,"Asian Provocateur, The Misadventures of Romesh Ranganathan, The Ranganation, Judge Romesh, A League of Their Own, Irrational Live","Known for dry, sardonic responses and frequent exasperation with tasks","Struggled with creative/physical tasks, excelled in logic-based challenges",@RomeshRanga,@romeshranga,"Former mathematics teacher, 'lazy' right eye, frequent collaborator with mother Shanthi","deadpan, self-deprecating, comedian, British, Sri Lankan heritage, mathematics, Taskmaster, BAFTA winner, podcaster, TV presenter",4
Tim Key,1,4,Male,1976-09-02,38,48,British,"Cambridge, Cambridgeshire, England",Southern English,"Poet, comedian, actor, and screenwriter","Surreal, deadpan, and poetic comedy",2001–present,"Edinburgh Festival Fringe, Alan Partridge universe, See How They Run, The Double, Detectorists, Gap Year, The End of the F***ing World","Finished 4th, creative and poetic approaches to tasks","Melon buffet, Little denim shorts, Down an octave",@timkeyperson,Unknown,Joined the Cambridge Footlights despite not being a Cambridge University student,"Surreal, Poetic, Deadpan, Inventive, Absurdist, Comedian, British, Taskmaster, Actor, Screenwriter",5
Roisin Conaty,1,5,Female,1979-03-26,36,46,English,"Camden, London, England",Unknown,"Comedian, actress, writer","Observational humor, relatable comedic style",Since 2004,"GameFace, Man Down, Impractical Jokers, After Life",Finished last with 68 points,"Brought a colorful cardigan for prize task, completed ice block task in 30 minutes and 20 seconds",Unknown,Unknown,Irish-English heritage,"Comedian, Actress, Writer, Observational humor, Taskmaster contestant, GameFace creator, Irish-English, Versatile performer",3
Katherine Ryan,2,1,Female,June 1983,33,41,Canadian,"Sarnia, Ontario, Canada",Unknown,"Comedian, Writer, Presenter, Actress, Singer","Sharp observations, distinctive delivery",Unknown,"8 Out of 10 Cats, Never Mind the Buzzcocks, A League of Their Own, Mock the Week, Would I Lie to You?, QI, Just a Minute, Safeword, Have I Got News for You, The Duchess, Live at the Apollo","Winning Series 2 with 94 points, singing a lullaby about tooth decay, struggling to eat an egg, granting Greg Davies 'his lordship'","Singing a lullaby about tooth decay, struggling to eat an egg",Unknown,Unknown,"Canadian-born, based in UK, mother of three","Comedian, Canadian, Taskmaster Champion, Witty, Creative, Competitive, Television Personality, Writer, Actress, Presenter",9
Jon Richardson,2,2,Male,1982-09-26,33,42,English,"Lancaster, England",Lancashire,"Comedian, actor, presenter","Neurotic, obsessive-compulsive tendencies",Since 2003,"8 Out of 10 Cats, 8 Out of 10 Cats Does Countdown, Jon Richardson: Ultimate Worrier, Channel Hopping With Jon Richardson, Meet the Richardsons",Unknown,"Fear of failure, Pork is a sausage, A pistachio éclair, Welcome to Rico Face, There's strength in arches",Unknown,Unknown,Known for his obsessive-compulsive tendencies and anxiety in comedy,"comedian, neurotic, panel show regular, British, stand-up comedy, TV presenter, podcaster, Lancashire accent, meticulous, anxious persona",8
Richard Osman,2,3,Male,1970-11-28,45,54,British,"Billericay, Essex, England",Standard British,"Television Presenter, Producer, Novelist",Unknown,1993-present,"Pointless, Two Tribes, Richard Osman's House of Games, Insert Name Here, The Fake News Show",Returned to film 'Richard Osman Creates His Ultimate Taskmaster Episode',"Fear of failure, Pork is a sausage, A pistachio éclair, Welcome to Rico Face, There's strength in arches",Unknown,Unknown,"Stands at 6 feet 7 inches, Won Heat magazine's 'Weird Crush of the Year' in 2011, Huge fan of R.E.M.","Television Presenter, Novelist, British, Tall, Quiz Show Host, Creative, Witty, Intelligent, Bestselling Author",10
Doc Brown,2,4,Male,1977-09-21,38,47,British,"Kilburn, London, England, United Kingdom",London accent with urban London inflections,"Comedian, rapper, actor, screenwriter, presenter, and voiceover artist","Observational, musical comedy, storytelling, and satire",Early 2000s to present,"Stand-up tours across the UK, appearances on British comedy panel shows, acting roles in 'Law & Order: UK', 'The Inbetweeners', and 'Derek'",Creative thinking in tasks like 'pistachio éclair' and 'strength in arches',Performed well in tasks requiring lateral thinking and creativity,@docbrown88,@docbrown88,Younger brother of novelist Zadie Smith,"Comedian, Rapper, Actor, Creative, Observational humor, Musical comedy, Calm demeanor, London accent, Versatile, Witty",6
Joe Wilkinson,2,5,Male,1975-02-11,41,50,British,"Bromley, London, England","South East England accent, often described as Kentish or London-influenced","Comedian, actor, and screenwriter","Deadpan, surreal, and self-deprecating humor",2004–present,"8 Out of 10 Cats Does Countdown, Two Episodes of Mash, Live at the Electric, Not Going Out, Hobby Man","Infamous 'potato in a golf hole' task, finished 5th (last) with 69 points",'Potato in a golf hole' incident,@gillinghamjoe,Unknown,"Married to Petra Exton since 2015, known for eccentric and unpredictable comedic persona","self-deprecating, surreal, awkward, comedian, British, Taskmaster, panel shows, underdog, eccentric, podcaster",7
Rob Beckett,3,1,Male,1986-01-02,30,39,British,"Mottingham, South East London, United Kingdom",South East London,"Comedian, actor, presenter, podcaster",Observational humor,Over a decade,Wedding Day Winners,Won Series 3 with 87 points,Unknown,Unknown,Unknown,"Returned for Champion of Champions special, finishing second","comedian, Taskmaster champion, British, observational humor, podcaster, presenter, competitive, South East London accent",14
Dave Gorman,3,2,Male,1971-03-02,45,54,English,Unknown,English,"Comedian, author, television presenter","Documentary comedy, storytelling, visual presentations",Early 1990s-present,"The Mrs Merton Show, The Fast Show, Are You Dave Gorman?, The Dave Gorman Collection, Dave Gorman's Googlewhack Adventure, Genius, Modern Life Is Goodish, With Great PowerPoint Comes Great ResponsibilityPoint, Terms and Conditions Apply",Finished in second place with 81 points,Performed impressively overall,Unknown,Unknown,"Methodical approach to comedy, uses PowerPoint presentations","Comedian, Documentary comedy, PowerPoint, Storytelling, British, Taskmaster, Analytical, Dry wit, Television presenter",12
Al Murray,3,3,Male,1968-05-10,48,57,English,"Stewkley, Buckinghamshire, England",Unknown,"Comedian, Actor, Writer","Character comedy, Political satire, Insult comedy",Since 1991,"Time Gentlemen Please, Al Murray's Happy Hour, Live performances at London Palladium",Unknown,Unknown,Unknown,Unknown,Descendant of novelist William Makepeace Thackeray,"Comedian, Pub Landlord, Political satire, British culture, Stand-up, Actor, Writer, Oxford Revue, Perrier Award",11
Sara Pascoe,3,4,Female,1981-05-22,35,43,British,"Dagenham, Greater London, England",London/Estuary English,"Comedian, actress, presenter, and writer","Observational, autobiographical, feminist",2006–present,"Live at the Apollo, QI, Never Mind the Buzzcocks, Have I Got News for You, 8 Out of 10 Cats Does Countdown, Taskmaster","Inventive and sometimes literal approach to tasks, scoring discrepancy in episode 1",Recognized for creative thinking and humor throughout the series,@sarapascoe,@sara.pascoe,"Daughter of jazz musician Derek Pascoe, great-grandmother was Rosa Newmarch","intelligent, witty, self-deprecating, feminist, observational, British comedian, author, presenter, creative, dry humor",15
Paul Chowdhry,3,5,Male,1974-08-21,42,50,British,"Edgware, London, England",British,Comedian and actor,"Observational comedy, deadpan humor",27,"Stand Up for the Week, Live at the Apollo, Devils","Deadpan humor, literal task interpretations","Failing to have fun on a bouncy castle, hiding in a cardboard box for 45 minutes",Unknown,Unknown,First British act to perform at the Caribbean Comedy Festival,"comedian, actor, British Asian, deadpan humor, literal interpretation, Taskmaster, observational comedy, cultural commentary",13
Noel Fielding,4,1,Male,1973-05-21,44,51,British,"Westminster, London, England",London,"Comedian, Actor, Artist, Television Presenter","Surrealism, Absurdism, Psychedelic",Late 1990s-present,"The Mighty Boosh, The Great British Bake Off, Noel Fielding's Luxury Comedy, Never Mind the Buzzcocks",Winner of Series 4 with 144 points,Unknown,Unknown,Unknown,"Fielding is of partial French descent, vegetarian, and interested in music.","Surrealist, Comedian, Artist, British, Eccentric, Television Presenter, Taskmaster Winner, Psychedelic, Fashion Icon, Creative",20
Joe Lycett,4,2,Male,1988-07-05,29,36,British,"Hall Green, Birmingham, England",Birmingham/West Midlands,"Comedian, Television Presenter","Storytelling, Observational humor, Playful",Since 2007,"Live at the Apollo, Never Mind the Buzzcocks, 8 Out of 10 Cats, QI, The Great British Sewing Bee, Joe Lycett's Got Your Back, Travel Man, Late Night Lycett",Unknown,Unknown,Unknown,Unknown,Changed his name to Hugo Boss as a protest,"Comedian, British, LGBTQ advocate, Television presenter, Playful, Observational humor, Storytelling, Birmingham accent, Artistic, Provocative",17
Mel Giedroyc,4,3,Female,1968-06-05,49,56,English,"Epsom, Surrey, England",English,"Actress, Comedian, Television Presenter","Playful banter, Quick wit",Unknown,"Light Lunch, The Great British Bake Off, Mel and Sue, Let It Shine","Placed third with 134 points, Given a special task involving a giant inflatable ball","Destroying a toy camel, playing football with a plastic bag, rummaging in a sleeping bag",Unknown,Unknown,Comes from a diverse heritage with Polish-Lithuanian and English descent,"Comedian, Television Presenter, Energetic, Enthusiastic, Quick Wit, Taskmaster Contestant, British Entertainment, Mel and Sue, The Great British Bake Off, Eurovision Commentator",19
Hugh Dennis,4,4,Male,1962-02-13,54,63,British,"Kettering, Northamptonshire, England",Standard English,"Comedian, presenter, actor, impressionist, writer","Political satire, impressionism, improvisational comedy, insult comedy",1989-present,"Mock the Week, My Hero, Outnumbered, Not Going Out, Fleabag, The Great British Dig, No Time to Die",Unknown,Unknown,Unknown,Unknown,Holds the title FRGS (Fellow of the Royal Geographical Society),"comedy, political satire, impressionist, British politics, family, current events, Mock the Week, Outnumbered, actor, presenter",16
Lolly Adefope,4,5,Female,1990-09-14,26,34,British,"Sutton, London, England, UK",London or Southern English,Comedian and actress,Character comedy,Since 2015,"Ghosts, Shrill, Miracle Workers, Loaded, Damned, The Spy Who Dumped Me, Mission: Impossible – Fallout","Participated in tasks like 'A fat bald white man', 'Look at me', 'Hollowing out a baguette'",Unknown,Unknown,Unknown,"Contributed a short story to 'Feminists Don't Wear Pink', written pieces for The Guardian","Comedian, Actress, Character Comedy, British, Taskmaster, Versatile, Observational, Award-Winning, Television, Film",18
Bob Mortimer,5,1,Male,1959-05-23,58,65,British,"Middlesbrough, North Riding of Yorkshire, England, UK",Teesside (North East England) accent,"Comedian, actor, writer, and former solicitor","Surreal, absurdist, and character-driven comedy",Since 1986,"Vic Reeves Big Night Out, The Smell of Reeves and Mortimer, Shooting Stars, Catterick, House of Fools, Mortimer & Whitehouse: Gone Fishing","Won the series with 138 points, returned for Champion of Champions special","Creative and unconventional approaches, memorable attempts at physical tasks",@RealBobMortimer,@realbobmortimer,"Qualified solicitor, underwent triple heart bypass surgery in 2015, supporter of Middlesbrough Football Club","Warm, Eccentric, Inventive, Self-effacing, Quick-witted, Surreal, Absurdist, Character-driven, British comedy, Cult favorite",22
Mark Watson,5,2,Male,1980-02-13,37,45,British,"Bristol, England, United Kingdom","West Country accent, fast-paced and slightly self-deprecating","Stand-up comedian, author, actor, and podcaster","Observational, self-deprecating, narrative-driven",2002–present,"Mock the Week, Never Mind the Buzzcocks, Have I Got News for You, Would I Lie to You?, marathon stand-up shows","Cheeky text task, Find the Finns prize task, trouser thief incident","Tallest tower of cans task, cheeky text task",@watsoncomedian,@watsoncomedian,"Known for marathon stand-up shows, has written several novels","neurotic, self-deprecating, inventive, committed, comedic, observational, narrative-driven, anxiety, social awkwardness, British comedian",23
Sally Phillips,5,3,Female,1970-05-10,47,55,British,British Hong Kong,"Received Pronunciation (RP), slightly posh or upper-middle-class tone","Actress, comedian, and television presenter","Sketch comedy, character-driven humor, and satirical roles",1994–present,"Smack the Pony, Jam & Jerusalem, Miranda, I'm Alan Partridge, Parents, Set the Thames on Fire, Zapped, Veep, Bridget Jones films, Pride and Prejudice and Zombies, Clare in the Community, The Museum of Curiosity","Finished as runner-up with 130 points, known for quirky, unpredictable approach","Inventive, sometimes bizarre solutions, literal interpretations",Unknown,Unknown,Married to Andrew Bermejo from 2003 to 2017; they have three children,"Eccentric, Witty, Playful, Versatile, Sketch Comedy, British, Actress, Comedian, Taskmaster, Character-driven",25
Aisling Bea,5,4,Female,1984-03-16,33,41,Irish,Unknown,Irish,"Comedian, actress, screenwriter","Dynamic, heartfelt style of live humour",Since 2009,"Cardinal Burns, Dead Boss, 8 Out of 10 Cats, Taskmaster, This Way Up",Placed 4th in her series,Unknown,Unknown,Unknown,Wrote about her family's experience with suicide in The Guardian,"Irish, Comedian, Actress, Screenwriter, Dynamic, Heartfelt, Multifaceted, Award-winning, Television, Stand-up",21
Nish Kumar,5,5,Male,1985-08-26,32,39,British,"Tooting, London, England",Unknown,"Stand-up comedian, television presenter, podcaster",Political and social commentary,Since 2004,"The Mash Report, Newsjack, Joel & Nish vs The World, The News Quiz, Hello America",Finished in last place with 107 points,Unknown,Unknown,Unknown,"British man of Indian descent, parents from Kerala, India","comedian, British, political humor, Taskmaster, Indian descent, television presenter, podcaster, Durham University, stand-up comedy, The Mash Report",24
Liza Tarbuck,6,1,Female,1964-11-21,53,60,English,"Liverpool, England",Traces of Liverpool and London,"Actress, Comedian, Television and Radio Presenter",Unknown,Since 1986,"The Big Breakfast, Linda Green, Bleak House, Saxondale, Bonkers, Upstart Crow, Supersize vs Superskinny, Eat Well for Less, The Great Cookbook Challenge",Champion of Series 6,"Participated in tasks like 'The old soft curved padlock', 'Tarpeters', 'One warm prawn', 'BMXing!'",Unknown,Unknown,"Stands at 5'9"" (1.75m) tall, credited as Lisa Tarbuck, appeared in Asda commercials","Versatile, Comedian, Actress, Presenter, Champion, British, Radio, Television, Taskmaster, Creative",28
Tim Vine,6,2,Male,1967-03-04,51,58,British,"Cheam, London, England",Southern English,"Comedian, actor, writer, presenter",Quick-fire one-liners and puns,1994-present,"Not Going Out, The Sketch Show, Taskmaster Series 6, Sunset Milk Idiot tour",Placed second,Unknown,Unknown,Unknown,"Performed as Plastic Elvis, brother of Jeremy Vine","comedian, one-liners, puns, British, Taskmaster, musician, deadpan, quick-witted, performer",30
Russell Howard,6,3,Male,1980-03-23,38,45,British,"Bristol, England, United Kingdom",West Country,"Comedian, television presenter, radio presenter, and actor","Observational comedy, topical humor, energetic storytelling",Since the early 2000s,"Russell Howard’s Good News, The Russell Howard Hour, Mock the Week, The Russell Howard Show","High energy and inventive approaches, created a 'convincing liger', charmed a lady named Carol, wrapped a tie around his head",Inventive solutions and energetic performances in creative and physical challenges,@russellhoward,@russellhoward,"Known for charitable work, passionate Liverpool FC fan, has a sister Kerry Howard","Comedian, Energetic, Observational humor, British, Charitable, Football fan, Television presenter, Radio presenter, Actor, Taskmaster contestant",29
Asim Chaudhry,6,4,Male,1986-11-24,32,38,British,"Hounslow, London, England, United Kingdom",Multicultural London English accent,"Actor, comedian, writer, and director","Character comedy, mockumentary, improvisational, and satirical humor",2010–present,"People Just Do Nothing, Taskmaster Series 6, Click & Collect, Black Mirror: Bandersnatch, Hoff the Record","Finished 4th place with 159 points, known for earnest and hapless approach to tasks","Struggled with physical or lateral-thinking challenges, praised for commitment and comic timing",@AsimC86,@asimc,Character Chabuddy G is based on people he knew growing up in West London,"comedian, actor, improvisational, British, satirical, character comedy, People Just Do Nothing, Taskmaster, Chabuddy G, multicultural",27
Alice Levine,6,5,Female,1986-07-08,32,38,British,"Beeston, Nottinghamshire, England",East Midlands,"Radio and television presenter, narrator, podcaster",Unknown,2008-present,"Celebrity Bites, Big Brother's Bit on the Side, The Circle","Barely attempting cricket, finishing last with 152 points",Barely attempting cricket,Unknown,Unknown,Her father was a lecturer and her mother a caterer and former artist.,"Radio presenter, Television presenter, Podcaster, Versatile, Creative, British, Taskmaster contestant, Media personality, Adaptable, Innovative",26
Kerry Godliman,7,1,Female,1973-11-17,44,51,British,"Perivale, West London, England, UK","London accent, often described as working-class or 'Estuary English'",Actress and stand-up comedian,"Observational, character-driven, and often self-deprecating",Since the late 1990s,"Derek, Bad Move, After Life","Won the series with 176 points, remembered for practical, no-nonsense approach","Known for resourcefulness and directness, excelling in practical and creative tasks",@KerryAGodliman,@kerrygodliman,"Married to Ben Abell, has two children, known for love of practical jokes and crafts","Observational comedy, Taskmaster winner, British actress, Stand-up comedian, London accent, Practical, Witty, Relatable, Self-deprecating, Creative",33
Jessica Knappett,7,2,Female,1984-11-28,33,40,British,"Bingley, West Yorkshire, England, UK",Yorkshire accent,"Comedian, actress, writer, and producer","Character-driven, observational, and self-deprecating humor",2006–present,"Drifters, The Inbetweeners Movie, 8 Out of 10 Cats Does Countdown, Taskmaster",Stage fall leading to 'The Knappett' stage extension,"Stage fall, 'magnificent walk'",@jessicaknappett,@jessicaknappett,The 'Knappett' stage extension is a unique honor,"Comedian, Actress, Writer, Physical comedy, Yorkshire accent, Taskmaster, Inventive, Self-deprecating, Observational humor, Energetic presence",32
Rhod Gilbert,7,3,Male,1968-10-18,50,56,Welsh,"Carmarthen, Carmarthenshire, Wales, UK","Distinct Welsh accent, specifically from Carmarthenshire","Stand-up comedian, television and radio presenter, writer, and producer","Observational comedy, deadpan delivery",2002–present,"Rhod Gilbert's Work Experience, Never Mind the Buzzcocks, Live at the Apollo, The Apprentice: You're Fired!, The Man with the Flaming Battenberg Tattoo, The Award-Winning Mince Pie","Inventive, literal, and sometimes chaotic approach to tasks",Unique solutions and taking tasks to absurd extremes,@rhodgilbertshow,Unknown,"Married to writer and comedian Sian Harries since August 2013, spoken publicly about his battle with cancer","Welsh comedian, deadpan humor, observational comedy, Taskmaster contestant, cancer awareness advocate, television presenter, writer, travel enthusiast, language lover, charity supporter",35
James Acaster,7,4,Male,1985-01-09,33,40,British,"Kettering, Northamptonshire, England",East Midlands,Stand-up comedian,"Quirky, observational, surreal",Since late 2000s,"Repertoire, Mock the Week, Would I Lie to You?, 8 Out of 10 Cats Does Countdown","Finished fourth, won a storytelling task in Episode 1","Storytelling task in Episode 1, blindfolded task in Episode 2",Unknown,Unknown,"Known for colorful retro clothing, played drums in bands","comedian, British, observational comedy, surreal, Taskmaster, storytelling, deadpan, East Midlands accent, Netflix special, panel shows",31
Phil Wang,7,5,Male,1990-01-22,28,35,British-Malaysian,"Stoke-on-Trent, Staffordshire, England, UK","British accent, often described as Received Pronunciation with multicultural inflections","Stand-up comedian, comedy writer, actor, and podcaster","Observational, deadpan, explores themes of identity, race, and cultural duality",2010–present,"Stand-up at Edinburgh Festival Fringe, Melbourne International Comedy Festival, Netflix special 'Phil Wang: Philly Philly Wang Wang', BBC Radio 4 special 'Wangsplaining'",Placed 5th out of 5 contestants; Known for distinctive yellow jumpsuit,"Performance sometimes chaotic or unconventional, struggled with some tasks but embraced failures with humor",@PhilNWang,@wangpix,"Wang’s first book, 'Sidesplitter: How to Be from Two Worlds at Once', explores his multicultural identity","comedian, British-Malaysian, observational humor, deadpan, multicultural, Taskmaster, Cambridge Footlights, engineer, yellow jumpsuit, self-deprecating",34
Lou Sanders,8,1,Female,Unknown,0,0,British,Unknown,Unknown,"Stand-up comedian, actor, and writer",Original,Unknown,"Taskmaster, Shame Pig, Say Hello To Your New Step-Mummy, One Word: Wow, The Late Late Show with James Corden, Live at the Apollo, QI, Travel Man: 48 Hours in..., Would I Lie to You?, 8 Out of 10 Cats Does Countdown, Mel Giedroyc's Unforgivable","Won Series 8 with 164 points, described as the ultimate star of series eight",Unknown,Unknown,Unknown,Returned to Taskmaster house for 'My Ultimate Episode' in July 2024,"comedian, original, Taskmaster winner, British, actor, writer, television appearances, stand-up, sold-out shows, radio co-host",38
Iain Stirling,8,2,Male,1988-01-27,31,37,British (Scottish),"Edinburgh, Scotland, United Kingdom","Scottish accent, specifically from Edinburgh","Comedian, actor, writer, presenter, and podcaster","Observational, self-deprecating, surreal or absurd humor",Since at least 2009,"Love Island, CelebAbility, The Dog Ate My Homework","Creative and chaotic approaches to tasks, such as presenting a fart in a jar",Physical and creative tasks leading to spectacular failures or successes,@IainDoesJokes,@iaindoesjokes,Started stand-up while studying law at university,"Comedian, Scottish, Observational humor, Self-deprecating, Energetic, Creative, Clumsy, Voice of Love Island, Taskmaster contestant, Warm accent",36
Joe Thomas,8,3,Male,1983-10-28,35,41,English,"Chelmsford, Essex, England, UK",Unknown,Actor and Comedian,Unknown,Since 2008,"The Inbetweeners, Fresh Meat, Chickens, White Gold, Maternal",Unknown,Unknown,Unknown,Unknown,Unknown,"Actor, Comedian, Taskmaster Contestant, The Inbetweeners, English, Television, Series 8, Fresh Meat, Chickens, White Gold",37
Sian Gibson,8,4,Female,1976-07-30,43,48,British (Welsh),"Mold, Flintshire, Wales, UK",North Welsh,"Comedy actress, television writer, and impressionist","Character-driven comedy, observational humor, and improvisation",Since the late 1990s,"Peter Kay’s Car Share, The Power of Parker, Inside No. 9","Warmth, self-deprecating humor, creative approaches to tasks",Inventive and sometimes chaotic solutions,Unknown,Unknown,"Married to Ian Gibson, mother to Gracie Gibson, petite stature","Welsh, comedy actress, impressionist, Car Share, self-deprecating, relatable, improvisational, Taskmaster, North Welsh accent",40
Paul Sinha,8,5,Male,1970-05-28,49,54,British,"Luton, Bedfordshire, England, UK",Southern English,"Comedian, broadcaster, quizzer, television presenter, and former general practitioner","Storytelling, observational comedy, witty one-liners, and anecdotes",1996–present,"Regular performer at UK comedy clubs, Edinburgh Festival Fringe nominee, BBC Radio 4’s “Paul Sinha’s History Revision”, ITV’s “The Chase”","Placed 5th, known for dry wit and self-deprecating humor","Clever but sometimes impractical solutions, leading to successes and humorous failures",@paulsinha,Unknown,"First name resulted from a misunderstanding at birth, married to Oliver Levy since 2019, known for wearing a white blazer jacket","Comedian, Quizzer, British Asian, Gay, Intelligent, Witty, Observational, Self-deprecating, Friendly, Articulate",39
Ed Gamble,9,1,Male,Unknown,0,0,British,Unknown,Unknown,Comedian,Absurd scenarios,Unknown,Taskmaster UK,Winning Series 9 with 167 points,Chickpea date task,Unknown,Unknown,Participated in Champion of Champions II,"Comedian, Taskmaster winner, Absurd humor, Podcast host, British",42
Rose Matafeo,9,2,Female,1992-02-25,27,33,New Zealander,"Auckland, New Zealand",New Zealand,"Comedian, actress, writer, TV presenter","Observational, energetic, self-deprecating",2010–present,"Funny Girls, Fanfiction Comedy, Starstruck, Horndog","High energy, creative problem-solving, comedic timing","Excelled in lateral thinking and physical comedy tasks, struggled with precision tasks",@Rose_Matafeo,@rosematafeo,First person of colour and New Zealander to win the Edinburgh Comedy Award for a solo show,"Comedian, Energetic, Observational, Multicultural, Taskmaster, New Zealand, Expressive, Pop culture, Award-winning, Relatable",45
Katy Wix,9,3,Female,1980-02-28,39,45,Welsh,"Pontypridd, Wales",Welsh,"Actress, comedian, writer, artist",Unique comedic style,19 years,"Stath Lets Flats, Ghosts, Ted Lasso, Big Boys, Torchwood: Children of Earth",Unknown,Unknown,Unknown,Unknown,"Height is 5′ 8½″ (1.74 m), sometimes credited as Katie Wix","Welsh, Actress, Comedian, Writer, Artist, Taskmaster, Versatile, Creative, Television, Radio",44
Jo Brand,9,4,Female,1957-07-23,62,67,English,"Clapham, London, England",English,"Comedian, actress, writer, presenter","Self-deprecating humor, sharp wit",1986-present,"Jo Brand Through the Cakehole, Getting On, The Great British Bake Off: An Extra Slice",Participated in memorable tasks such as 'Join our cult' and 'Butter in the microwave',Unknown,Unknown,Unknown,Worked as a psychiatric nurse before comedy,"Comedian, Writer, Actress, Presenter, Self-deprecating, Sharp wit, Psychiatric nurse background, British comedy, Panel shows",43
